Algorithm,ArraySize,QueryCount,PreprocessTime,QueryTime
SparseTable,1000,100,1305600,14300
Blocking,1000,100,678000,118600
NoPrecompute,1000,100,448500,603600
PrecomputeAll,1000,100,7293200,12700
SparseTable,1000,500,648000,55800
Blocking,1000,500,45900,371000
NoPrecompute,1000,500,400,531400
PrecomputeAll,1000,500,2859700,31000
SparseTable,1000,1000,427600,30600
Blocking,1000,1000,23000,234600
NoPrecompute,1000,1000,300,1104300
PrecomputeAll,1000,1000,3356200,28900
SparseTable,2000,100,930200,4000
Blocking,2000,100,59100,159900
NoPrecompute,2000,100,400,611300
PrecomputeAll,2000,100,13565400,5500
SparseTable,2000,500,893800,15400
Blocking,2000,500,44800,571300
NoPrecompute,2000,500,300,167400
PrecomputeAll,2000,500,3580500,17000
SparseTable,2000,1000,294300,32900
Blocking,2000,1000,50500,145900
NoPrecompute,2000,1000,300,372300
PrecomputeAll,2000,1000,6177100,32800
SparseTable,5000,100,462300,3700
Blocking,5000,100,109000,21200
NoPrecompute,5000,100,800,90800
PrecomputeAll,5000,100,46806200,23400
SparseTable,5000,500,549800,23300
Blocking,5000,500,159100,119700
NoPrecompute,5000,500,400,483300
PrecomputeAll,5000,500,56280600,42000
SparseTable,5000,1000,602400,62800
Blocking,5000,1000,203600,291900
NoPrecompute,5000,1000,400,1141600
PrecomputeAll,5000,1000,34837400,80000
SparseTable,10000,100,450800,4000
Blocking,10000,100,217500,31000
NoPrecompute,10000,100,400,179500
PrecomputeAll,10000,100,278042000,26100
SparseTable,10000,500,534700,25600
Blocking,10000,500,327300,161500
NoPrecompute,10000,500,500,937200
PrecomputeAll,10000,500,196804800,88500
SparseTable,10000,1000,870700,252700
Blocking,10000,1000,513100,499200
NoPrecompute,10000,1000,600,2811400
PrecomputeAll,10000,1000,197562900,110500
